invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5_pct,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
219-22-9386,Cairo,Mandalay,Member,Female,Sports And Travel,99.96,9,44.982,944.622,03-09-2019,17:26:00,Credit Card,899.64,4.761904762,44.982,4.2
148-41-7930,Giza,Naypyitaw,Normal,Male,Health And Beauty,99.96,7,34.986,734.706,23-01-2019,10:33:00,Cash,699.72,4.761904762,34.986,6.1
641-62-7288,Cairo,Mandalay,Normal,Male,Home And Lifestyle,99.92,6,29.976,629.496,24-03-2019,13:33:00,Ewallet,599.52,4.761904762,29.976,7.1
437-53-3084,Cairo,Mandalay,Normal,Male,Fashion Accessories,99.89,2,9.989,209.769,26-02-2019,11:48:00,Ewallet,199.78,4.761904762,9.989,7.1
667-92-0055,Alex,Yangon,Member,Male,Health And Beauty,99.83,6,29.949,628.929,03-04-2019,15:02:00,Ewallet,598.98,4.761904762,29.949,8.5
702-83-5291,Giza,Naypyitaw,Member,Male,Fashion Accessories,99.82,9,44.919,943.299,27-03-2019,10:43:00,Cash,898.38,4.761904762,44.919,6.6
446-47-6729,Giza,Naypyitaw,Normal,Male,Fashion Accessories,99.82,2,9.982,209.622,01-02-2019,18:09:00,Credit Card,199.64,4.761904762,9.982,6.7
471-41-2823,Giza,Naypyitaw,Normal,Male,Food And Beverages,99.79,2,9.979,209.559,03-07-2019,20:37:00,Ewallet,199.58,4.761904762,9.979,8
815-11-1168,Alex,Yangon,Member,Male,Food And Beverages,99.78,5,24.945,523.845,03-09-2019,19:09:00,Cash,498.9,4.761904762,24.945,5.4
817-69-8206,Cairo,Mandalay,Normal,Female,Electronic Accessories,99.73,9,44.8785,942.4485,03-02-2019,19:42:00,Credit Card,897.57,4.761904762,44.8785,6.5
477-24-6490,Cairo,Mandalay,Normal,Female,Health And Beauty,99.71,6,29.913,628.173,26-02-2019,16:52:00,Ewallet,598.26,4.761904762,29.913,7.9
420-04-7590,Cairo,Mandalay,Normal,Male,Home And Lifestyle,99.7,3,14.955,314.055,18-03-2019,11:29:00,Ewallet,299.1,4.761904762,14.955,4.7
868-52-7573,Cairo,Mandalay,Normal,Female,Food And Beverages,99.69,5,24.9225,523.3725,14-01-2019,12:09:00,Cash,498.45,4.761904762,24.9225,9.9
250-81-7186,Giza,Naypyitaw,Normal,Female,Electronic Accessories,99.69,1,4.9845,104.6745,27-02-2019,10:23:00,Credit Card,99.69,4.761904762,4.9845,8
459-45-2396,Alex,Yangon,Member,Female,Food And Beverages,99.6,3,14.94,313.74,25-02-2019,18:45:00,Cash,298.8,4.761904762,14.94,5.8
638-60-7125,Alex,Yangon,Member,Female,Electronic Accessories,99.56,8,39.824,836.304,14-02-2019,17:03:00,Credit Card,796.48,4.761904762,39.824,5.2
189-52-0236,Alex,Yangon,Normal,Male,Electronic Accessories,99.55,7,34.8425,731.6925,14-03-2019,12:07:00,Cash,696.85,4.761904762,34.8425,7.6
183-56-6882,Giza,Naypyitaw,Member,Female,Food And Beverages,99.42,4,19.884,417.564,02-06-2019,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5
174-36-3675,Giza,Naypyitaw,Member,Male,Food And Beverages,99.37,2,9.937,208.677,14-02-2019,17:29:00,Cash,198.74,4.761904762,9.937,5.2
860-79-0874,Giza,Naypyitaw,Member,Female,Fashion Accessories,99.3,10,49.65,1042.65,15-02-2019,14:53:00,Credit Card,993,4.761904762,49.65,6.6
514-37-2845,Cairo,Mandalay,Normal,Male,Fashion Accessories,99.25,2,9.925,208.425,20-03-2019,13:02:00,Cash,198.5,4.761904762,9.925,9
751-69-0068,Giza,Naypyitaw,Normal,Male,Sports And Travel,99.24,9,44.658,937.818,19-03-2019,19:09:00,Ewallet,893.16,4.761904762,44.658,9
